filling eyebrows,Enhancing brows with makeup,Filling in sparse eyebrow areas,Defining eyebrows with cosmetic products,Creating fuller looking brows,Applying makeup to shape eyebrows
finger snapping,Producing a sound by snapping fingers,Clicking fingers rhythmically,Making a snapping noise with a finger flick,Expressing a beat with finger snaps,Creating a click sound with finger action
fixing bicycle,Repairing a malfunctioning bike,Mending parts of a bicycle,Conducting maintenance on a cycle,Rectifying issues with a bicycle,Restoring a bike to working condition
fixing hair,Arranging hair into place,Styling hair for appearance,Adjusting hair for neatness,Correcting disheveled hair,Grooming hair to look orderly
flint knapping,Shaping flint stones into tools,Crafting stone by striking and chipping,Creating edged tools from flint,Practicing the ancient skill of flint knapping,Making sharp implements from flint rock
flipping bottle,Tossing a bottle to land upright,Performing a bottle flip challenge,Throwing a bottle to make it flip,Achieving a bottle stand with a flip,Engaging in the game of bottle flipping
flipping pancake,Turning a pancake in a skillet,Cooking both sides of a pancake,Skillfully flipping a pancake while cooking,Executing a pancake flip in mid-air,Mastering the art of pancake flipping
fly tying,Creating artificial flies for fishing,Crafting lures for fly fishing,Designing fishing flies with feathers and thread,Assembling materials for fishing lures,Producing hand-tied fishing flies
flying kite,Soaring a kite in the sky,Controlling a kite on a windy day,Guiding a kite in the air,Enjoying kite flying outdoors,Lifting a kite and navigating its flight
folding clothes,Neatening garments by folding,Organizing attire through folding,Arranging clothing in a tidy manner,Executing precise folds on clothes,Practicing the task of clothes folding
folding napkins,Creating decorative shapes with napkins,Arranging table napkins artistically,Fashioning napkins into elegant designs,Skillfully folding napkins for presentation,Executing intricate napkin folds
folding paper,Creating shapes by folding paper,Engaging in paper folding crafts,Manipulating paper into different forms,Practicing the art of paper folding,Transforming paper through folding techniques
front raises,Lifting weights in front of the body,Performing an exercise for shoulder muscles,Raising arms with weights for strength,Executing front raise workouts,Strengthening the anterior deltoids with raises
frying vegetables,Cooking veggies in a pan,Sautéing mixed vegetables,Preparing stir-fried vegetables,Pan-frying vegetables for a dish,Making a vegetable fry-up
gargling,Rinsing the mouth and throat with liquid,Using a liquid to cleanse the throat,Performing a gargle for oral hygiene,Swishing and expelling liquid from the mouth,Engaging in the act of gargling for health
geocaching,Hunting for hidden items using GPS,Engaging in a modern treasure hunt,Exploring outdoors while geocaching,Participating in a GPS-based scavenger hunt,Searching for geocaches as a hobby
getting a haircut,Trimming hair for a new style,Visiting a salon for hair cutting,Changing hairstyle with a cut,Receiving a professional hair trim,Undergoing a hair transformation
getting a piercing,Having a body part pierced,Receiving a piercing at a studio,Undergoing the process of body piercing,Decorating the body with piercings,Experiencing the art of body piercing
getting a tattoo,Inking a design on the skin,Receiving artistic body tattoos,Undergoing the tattooing process,Adorning the body with permanent ink,Having artwork permanently etched on skin
giving or receiving award,Presenting a trophy or medal,Accepting an award on stage,Being honored with a prize,Awarding someone for achievements,Receiving recognition in a ceremony
gold panning,Sifting through sediment for gold,Searching for gold in riverbeds,Using a pan to find gold nuggets,Prospecting for gold in water,Engaging in the activity of gold panning
golf chipping,Hitting a golf ball onto the green,Executing a short chip shot in golf,Practicing close-range golf strokes,Perfecting the art of golf chipping,Making a precise chip shot in golf
golf driving,Striking a golf ball off the tee,Performing a long-distance golf drive,Launching a golf ball down the fairway,Executing a powerful golf swing,Driving a golf ball with force
golf putting,Rolling a golf ball into the hole,Playing a short stroke on the green,Practicing putting in golf,Aiming a golf ball at the cup,Executing precision strokes in golf
gospel singing in church,Performing religious hymns in a choir,Singing spiritual songs in worship,Expressing faith through gospel music,Participating in church choir singing,Raising voices in gospel harmony
grinding meat,Processing meat in a grinder,Preparing ground meat for cooking,Using a machine to mince meat,Creating ground beef or pork,Transforming meat into ground form
grooming cat,Brushing a cat's fur,Cleaning and caring for a cat,Attending to a cat's hygiene needs,Maintaining a cat's appearance,Ensuring a cat's coat is neat and clean
grooming dog,Caring for a dog's coat,Bathing and brushing a dog,Attending to a dog's grooming needs,Keeping a dog clean and tidy,Ensuring a dog's fur is well-maintained
grooming horse,Tending to a horse's coat and hooves,Cleaning and brushing a horse,Maintaining a horse's appearance,Caring for a horse's grooming,Ensuring a horse is well-groomed
gymnastics tumbling,Performing acrobatic flips and rolls,Executing gymnastic floor routines,Practicing tumbling exercises,Displaying agility in gymnastic moves,Engaging in dynamic tumbling sequences
hammer throw,Spinning and releasing a heavy hammer,Competing in the athletic event of hammer throw,Throwing a weighted hammer for distance,Executing a hammer throw in track and field,Participating in the sport of hammer throwing
hand washing clothes,Manually scrubbing garments,Cleaning clothes without a machine,Rinsing and washing clothes by hand,Performing the task of hand laundry,Gently washing delicate clothing
head stand,Balancing upside down on the head,Performing a headstand pose,Executing an inverted vertical stance,Stabilizing the body in a headstand,Practicing balance with a head stand
headbanging,Vigorously nodding the head to music,Rocking the head back and forth rhythmically,Expressing energy with head movement,Engaging in headbanging at a concert,Moving the head to the beat of heavy music
headbutting,Striking with the head against something,Using the head to hit or push,Engaging in a forceful head contact,Delivering a blow with the forehead,Executing a headbutt in sports or combat
helmet diving,Exploring underwater with a diving helmet,Walking on the seabed with protective headgear,Experiencing underwater sights with helmet diving,Engaging in sea floor exploration,Diving with a helmet for breathing underwater
herding cattle,Guiding a group of cows,Managing the movement of cattle,Directing livestock in a pasture,Organizing cattle for grazing or travel,Leading a herd of cattle in a coordinated manner
high fiving,Slapping hands together above the head,Celebrating with an overhead hand slap,Exchanging a gesture of greeting or celebration,Connecting palms in a high-five motion,Sharing a moment of success with a high five
high jump,Leaping over a bar in athletics,Performing a vertical jump over a height,Engaging in a track and field high jump,Clearing a bar set at a high level,Jumping upwards in a competitive sport
high kick,Delivering a kick at a high elevation,Executing an elevated leg strike,Performing a kick above waist level,Engaging in high-level kicking movements,Striking with the leg extended upwards
historical reenactment,Recreating events from the past,Portraying historical characters or battles,Simulating historical occurrences,Participating in the re-creation of history,Bringing history to life through reenactment
hitting baseball,Striking a baseball with a bat,Swinging at a pitched baseball,Engaging in the act of batting,Connecting bat with baseball,Executing a hit in baseball
hockey stop,Halting quickly on ice skates,Performing a stop maneuver in hockey,Executing a sharp turn to stop on ice,Sliding sideways to halt in hockey,Utilizing skates to abruptly stop
holding snake,Handling a snake with care,Grasping a serpent safely,Managing a snake in one's hands,Controlling a snake while holding it,Securing a snake with hand grip
home roasting coffee,Roasting coffee beans at home,Preparing fresh coffee by roasting,Creating homemade roasted coffee,Experiencing the process of coffee roasting,Producing artisanal coffee through roasting
hopscotch,Playing a jumping game on numbered squares,Engaging in the childhood game of hopscotch,Hopping on one foot in a chalk-drawn course,Enjoying the playground activity of hopscotch,Participating in a sequential jumping game
hoverboarding,Riding on a self-balancing scooter,Gliding on a hoverboard,Experiencing motion on a two-wheeled board,Maneuvering a hoverboard for transportation,Navigating on an electric hoverboard
huddling,Gathering closely in a group,Forming a tight circle for discussion or warmth,Coming together closely as a team,Convening in a compact group,Assembling closely for a common purpose
hugging (not baby),Embracing someone warmly,Giving a comforting squeeze,Expressing affection with an embrace,Wrapping arms around another person,Sharing a friendly or loving hug
hugging baby,Embracing an infant tenderly,Cradling a baby in a warm hug,Holding a baby close in an embrace,Showing affection to a baby with a hug,Gently wrapping arms around a baby
hula hooping,Twirling a hoop around the waist,Engaging in hoop dance,Rotating a hula hoop for exercise,Keeping a hoop spinning with body movements,Performing tricks with a hula hoop
hurdling,Jumping over obstacles in a race,Clearing hurdles on a track,Competing in a hurdling event,Leaping over barriers in a sprint,Performing in an athletic hurdling competition
hurling (sport),Playing a traditional Irish field game,Striking a ball with a wooden stick in hurling,Competing in a fast-paced hurling match,Participating in the Gaelic sport of hurling,Engaging in the team sport of hurling
ice climbing,Ascending frozen waterfalls or cliffs,Using picks and crampons for climbing ice,Scaling icy surfaces vertically,Practicing the sport of climbing on ice,Engaging in adventurous ice climbing
ice fishing,Catching fish through ice-covered water,Setting up a fishing spot on ice,Drilling holes in ice for fishing,Patiently waiting for fish in cold conditions,Experiencing the tranquility of ice fishing
ice skating,Gliding on ice with skates,Performing on ice with skates,Enjoying the activity of ice skating,Displaying skills on an ice rink,Partaking in recreational or competitive skating
ice swimming,Taking a dip in freezing water,Braving cold temperatures for a swim,Swimming in icy waters for endurance,Experiencing the extreme sport of ice swimming,Challenging oneself with swimming in ice-cold water
inflating balloons,Filling balloons with air or helium,Blowing up balloons for decoration,Expanding balloons for a party,Creating a festive atmosphere with balloons,Preparing balloons for celebrations
installing carpet,Laying carpet on a floor,Fitting carpeting in a room,Setting up carpet for flooring,Working on carpet installation,Ensuring precise carpet placement
ironing,Smoothing out clothes with an iron,Pressing garments to remove wrinkles,Applying heat to straighten fabric,Using an iron to make clothes neat,Performing the task of ironing clothing
ironing hair,Straightening hair with a flat iron,Styling hair with heat,Creating sleek hairstyles with an iron,Using a hair iron for smooth locks,Achieving a straight hair look
javelin throw,Launching a javelin in athletics,Competing in the javelin throw event,Hurling a spear-like javelin,Participating in a throwing sport,Exhibiting skill in javelin throwing
jaywalking,Crossing a street unlawfully,Walking across roads outside of crosswalks,Ignoring traffic rules while crossing,Taking a shortcut by crossing streets improperly,Engaging in risky pedestrian behavior
jetskiing,Riding on a watercraft at high speed,Enjoying water sports with a jet ski,Navigating waters on a jet ski,Experiencing the thrill of jetskiing,Maneuvering a jet ski on water
jogging,Running at a steady pace,Engaging in a light run for fitness,Exercising by jogging outdoors,Maintaining a consistent running speed,Participating in recreational jogging
juggling balls,Tossing balls in the air skillfully,Keeping multiple balls in motion,Performing the art of ball juggling,Coordinating hand movements to juggle,Displaying talent in ball juggling
juggling fire,Handling flaming objects with skill,Performing dangerous fire juggling,Manipulating fire sticks in the air,Exhibiting a fiery juggling act,Engaging in the risky art of fire juggling
juggling soccer ball,Keeping a soccer ball in the air with feet,Performing soccer ball tricks,Showing skill in football freestyling,Controlling a soccer ball with continuous kicks,Demonstrating soccer juggling techniques
jumping bicycle,Performing jumps on a bike,Executing bike stunts with leaps,Taking a bicycle off the ground,Engaging in BMX jumping tricks,Displaying airborne skills on a bicycle
jumping into pool,Diving into a swimming pool,Leaping into water from the poolside,Making a splash by jumping in a pool,Entering a pool with a jump,Enjoying a playful jump into water
jumping jacks,Performing a full-body exercise with jumps,Engaging in a cardio workout,Doing a jumping exercise for fitness,Exercising with jumping jack movements,Staying active with dynamic jumping
jumping sofa,Leaping onto a couch playfully,Bouncing on a sofa for fun,Engaging in lively jumps on a couch,Acting playful with sofa jumps,Experiencing the thrill of sofa hopping
jumpstyle dancing,Performing energetic jumps in dance,Engaging in a hardstyle dance form,Exhibiting high-energy jumpstyle moves,Dancing with rapid leg movements,Showcasing skills in jumpstyle dancing
karaoke,Singing along to music tracks,Performing songs in a karaoke setting,Enjoying communal singing,Entertaining with vocal renditions,Participating in a karaoke session
kicking field goal,Scoring in football with a kick,Executing a field goal kick,Aiming a football through goalposts,Performing a long-distance kick in football,Succeeding in a field goal attempt
kicking soccer ball,Striking a football with the foot,Engaging in a soccer game,Executing soccer kicks during play,Displaying kicking skills in soccer,Controlling and propelling a soccer ball
kissing,Pressing lips together as a sign of affection,Exchanging a romantic or affectionate gesture,Sharing a moment with a gentle kiss,Expressing love or greeting with a kiss,Engaging in the act of kissing
kitesurfing,Riding waves with a kite and board,Harnessing wind power for water sport,Performing on water with a kiteboard,Combining kite flying and surfing,Experiencing the thrill of kitesurfing
knitting,Creating fabric with yarn and needles,Weaving yarn into garments,Engaging in the craft of knitting,Producing knitted items by hand,Practicing the skill of needlework
krumping,Performing a high-energy street dance,Engaging in intense dance battles,Exhibiting aggressive dance movements,Expressing emotions through krumping,Participating in a dynamic dance style
land sailing,Navigating a wheeled vehicle with sails,Racing across land in a sail-powered cart,Glide along terrain using wind power,Experiencing the sport of land yachting,Engaging in wind-propelled land travel
laughing,Expressing joy with audible chuckles,Experiencing mirth with laughter,Chuckling or giggling audibly,Releasing amusement through laughing,Sharing happiness with a laugh
lawn mower racing,Competing in a race with lawn mowers,Driving modified mowers at high speed,Participating in a mower racing event,Racing on grass with speedy mowers,Engaging in the sport of lawn mower racing
laying bricks,Building structures with brick units,Constructing walls with bricks and mortar,Assembling brickwork systematically,Working on masonry with bricks,Crafting with bricks in construction
laying concrete,Pouring concrete for foundations,Forming solid surfaces with concrete,Working with concrete in construction,Creating paths or structures with concrete,Setting concrete for building projects
laying decking,Installing wooden planks for decks,Constructing outdoor decking areas,Building a deck with timber boards,Assembling decking for patios,Setting up a wooden deck
laying stone,Building with natural stone materials,Creating stone paths or walls,Working with stones in construction,Arranging stones for landscaping,Crafting structures with stone blocks
laying tiles,Installing tiles on floors or walls,Setting tiles in a patterned layout,Working on tiling for decoration or utility,Assembling a tiled surface,Placing tiles for flooring or backsplashes
leatherworking,Crafting with leather materials,Creating leather goods and items,Working on leather designs,Shaping and sewing leather,Producing handmade leather products
letting go of balloon,Releasing a balloon into the air,Watching a balloon float away,Allowing a balloon to ascend skyward,Setting a balloon free,Experiencing a balloon drifting upwards
licking,Passing the tongue over something,Tasting or moistening with the tongue,Using the tongue to sample or clean,Engaging in the act of licking,Applying the tongue's surface to objects
lifting hat,Raising a hat as a gesture,Removing a hat briefly in respect,Tilting or lifting a hat in greeting,Performing a hat lift as a polite act,Showing courtesy by hat lifting
lighting candle,Igniting a candle wick,Setting a candle alight for ambiance,Using a flame to start a candle,Creating light with a candle,Burning a candle for fragrance or light
lighting fire,Setting materials ablaze for warmth,Igniting a flame for cooking or heat,Starting a fire for light or heat,Creating a controlled fire,Producing flames in a fireplace or pit
listening with headphones,Experiencing audio through headphones,Using headphones for private listening,Engaging in music or sounds via headphones,Isolating sound with headphone use,Enjoying personal audio with earphones
lock picking,Manipulating locks without keys,Using tools to unlock mechanisms,Bypassing lock systems skillfully,Practicing the art of lock picking,Opening locks through manipulation
long jump,Leaping for distance in athletics,Performing a horizontal jump on a track,Competing in a long jump event,Jumping as far as possible from a running start,Executing a long leap in track and field
longboarding,Riding on a long skateboard,Gliding on a board with wheels,Engaging in downhill longboard skating,Cruising on streets with a longboard,Performing maneuvers on a long skateboard
looking at phone,Viewing content on a smartphone,Checking a mobile phone,Engaging with a phone's screen,Glancing at messages or apps,Focusing attention on a cell phone
looking in mirror,Gazing at one's reflection,Checking appearance in a mirror,Observing oneself in a reflective surface,Using a mirror for self-viewing,Examining one's look in a mirror
luge,Sliding down a track on a luge sled,Participating in a high-speed luge ride,Racing in a luge competition,Navigating a luge course at speed,Experiencing the thrill of luge sliding
lunge,Performing a forward step exercise,Engaging in lunge movements for fitness,Executing lunges in a workout,Strengthening muscles with lunges,Incorporating lunges into an exercise routine
making a cake,Baking a cake from scratch,Creating a sweet dessert,Preparing a cake with ingredients,Crafting a cake for an occasion,Combining flavors to bake a cake
making a sandwich,Assembling ingredients between bread,Creating a layered sandwich,Preparing a quick and easy meal,Building a sandwich with various fillings,Crafting a sandwich with different toppings
making balloon shapes,Twisting balloons into figures,Creating art with balloon sculpting,Forming shapes with latex balloons,Fashioning balloon animals or objects,Engaging in the craft of balloon modeling
making bubbles,Creating soapy spheres in the air,Blowing bubbles from a solution,Forming floating bubbles for fun,Playing with bubble-making tools,Generating bubbles for entertainment
making cheese,Producing cheese from milk,Crafting homemade cheese,Engaging in the cheese-making process,Turning dairy into various cheeses,Culturing and aging milk for cheese
making horseshoes,Forging shoes for horse hooves,Shaping metal into horseshoes,Crafting horseshoes in a blacksmith shop,Creating horseshoes for equine use,Working with iron to make horseshoes
making jewelry,Creating ornamental pieces,Designing and crafting jewelry,Fashioning accessories from metals or gems,Producing handcrafted jewelry items,Working on intricate jewelry designs
making latte art,Crafting designs on coffee,Pouring artistic patterns in latte,Creating art with espresso and milk,Designing on the surface of a latte,Exhibiting creativity in coffee presentation
making paper aeroplanes,Folding paper into plane shapes,Creating flying models from paper,Designing and crafting paper planes,Constructing aeroplanes from paper sheets,Engaging in the art of paper plane making
making pizza,Preparing dough and toppings for a pizza,Baking a pizza in an oven,Creating a homemade pizza,Assembling ingredients for a pizza,Crafting a delicious pizza meal
making slime,Mixing ingredients to create slime,Creating gooey and stretchy slime,Engaging in DIY slime-making,Producing colorful homemade slime,Experimenting with slime recipes
making snowman,Building a snowman with snow,Forming a figure from snowballs,Crafting a snowman during winter,Designing a snowman with accessories,Enjoying winter by creating a snowman
making sushi,Preparing rice and fish for sushi,Rolling sushi with seaweed and fillings,Creating traditional Japanese sushi,Assembling sushi rolls and nigiri,Crafting artistic sushi dishes
making tea,Brewing leaves for a cup of tea,Preparing a hot tea beverage,Steeping tea in hot water,Serving a freshly made tea,Creating a comforting tea drink
making the bed,Arranging bed linens and covers,Tidying up the bedding,Straightening sheets and blankets,Organizing a bed to look neat,Setting up the bed after use
marching,Walking in rhythm as a group,Participating in a marching formation,Moving forward with coordinated steps,Performing in a march,Engaging in synchronized walking
marriage proposal,Asking someone to marry,Presenting a ring during a proposal,Declaring love with a proposal,Proposing marriage to a partner,Expressing commitment in a proposal
massaging back,Rubbing muscles in the back area,Applying pressure to relieve back tension,Providing a therapeutic back massage,Easing back soreness with massage,Giving a relaxing massage to the back
massaging feet,Soothing feet with massage techniques,Relieving foot pain through massage,Giving a foot massage for relaxation,Applying therapy to tired feet,Pampering feet with a gentle rub
massaging legs,Rubbing leg muscles to relax,Providing a leg massage for relief,Easing leg soreness with massage,Applying pressure to leg muscles,Delivering a soothing leg massage
massaging neck,Alleviating neck tension with massage,Applying massage to neck area,Relieving stress in the neck with rubs,Providing therapeutic neck massage,Easing neck muscles with massage
massaging person's head,Rubbing the scalp and head for relaxation,Providing a soothing head massage,Easing tension with a head rub,Giving a relaxing scalp massage,Applying gentle pressure to the head
metal detecting,Searching for metal objects with a detector,Exploring areas with a metal detector,Hunting for buried treasures,Using a detector to find metal items,Engaging in the hobby of metal detecting
milking cow,Extracting milk from a cow,Performing the task of cow milking,Gathering milk from dairy cows,Engaging in the milking process,Producing fresh milk from cows
milking goat,Extracting milk from a goat,Performing the task of goat milking,Gathering milk from dairy goats,Engaging in the milking process of goats,Producing fresh goat milk
mixing colours,Blending different paint hues,Creating new shades by combining colors,Experimenting with color mixing,Formulating unique colors,Combining colors for artistic purposes
moon walking,Gliding backwards in a smooth motion,Performing the iconic moonwalk dance step,Mimicking walking on the moon,Executing a moonwalk in dance,Sliding feet in a moonwalk illusion
mopping floor,Cleaning the floor with a mop,Wiping surfaces with a wet mop,Using a mop to cleanse floors,Sanitizing floors through mopping,Engaging in the act of floor mopping
mosh pit dancing,Engaging in energetic dance in a crowd,Participating in a mosh pit at a concert,Thrashing and jumping in a dance pit,Expressing energy in a mosh pit,Immersing in intense concert dancing
motorcycling,Riding a motorbike on roads,Exploring on a motorcycle,Experiencing the thrill of motorcycling,Navigating on a two-wheeled vehicle,Traveling by motorcycle
mountain climber (exercise),Performing a dynamic full-body workout,Engaging in mountain climber exercises,Simulating climbing movements in exercise,Executing climbing motions for fitness,Incorporating mountain climbers in a workout
moving baby,Carrying an infant gently,Relocating a baby safely,Transporting a young child with care,Handling the movement of a baby,Shifting a baby's position attentively
moving child,Assisting a child in changing location,Guiding a young child's movement,Safely transporting a child from one place to another,Facilitating the mobility of a child,Helping a child move or walk
moving furniture,Relocating household items,Shifting furniture to a new position,Rearranging room furnishings,Transporting furniture within or between spaces,Adjusting the placement of furniture
mowing lawn,Trimming grass with a lawn mower,Cutting the lawn to maintain neatness,Using a mower to landscape grass,Engaging in lawn care with mowing,Maintaining a tidy garden through mowing
mushroom foraging,Collecting wild mushrooms,Searching for mushrooms in nature,Harvesting edible fungi outdoors,Exploring forests for mushroom picking,Gathering mushrooms as a foraging activity
needle felting,Crafting with wool and barbed needles,Creating felted items by needlework,Shaping wool into sculptures with felting,Designing felt art with needles,Engaging in the craft of needle felting
news anchoring,Presenting news on television,Delivering news reports as an anchor,Hosting a news broadcast,Reporting current events on TV,Engaging in journalistic presentation on air
opening bottle (not wine),Uncapping a bottle with a lid,Twisting open a bottled beverage,Removing the top from a non-wine bottle,Accessing contents of a bottled drink,Performing the act of bottle opening
opening coconuts,Cracking open a coconut shell,Extracting coconut water and flesh,Breaking into a coconut,Using tools to open coconuts,Accessing the inside of a coconut
opening door,Turning the handle to access a room,Swinging a door open,Entering a room by opening the door,Pushing or pulling a door to open,Unlatching a door for entry
opening present,Unwrapping a gift,Revealing what's inside a wrapped package,Discovering the contents of a present,Unveiling a gift's contents,Experiencing the surprise of opening a gift
opening refrigerator,Accessing food by opening a fridge,Opening the fridge to get items,Looking inside the refrigerator,Reaching for items in a refrigerator,Unveiling the contents of a fridge
opening wine bottle,Uncorking a bottle of wine,Using a corkscrew to open wine,Releasing the cork from a wine bottle,Initiating a wine experience,Preparing to pour and serve wine
packing,Arranging items for transport,Organizing belongings in containers,Loading goods into boxes or luggage,Preparing items for a journey,Securing possessions for moving or traveling
paragliding,Soaring in the sky with a paraglider,Experiencing flight with a parachute-like wing,Gliding through the air,Floating above landscapes with a paraglider,Engaging in the adventure sport of paragliding
parasailing,Being towed while attached to a parachute,Flying above water with a parasail,Experiencing elevated views while parasailing,Glider-towing water sport,Soaring in the air behind a boat
parkour,Freerunning and acrobatics in urban environments,Navigating obstacles with agility and speed,Practicing efficient movement through areas,Engaging in artistic physical expression,Performing dynamic jumps and maneuvers
passing American football (in game),Throwing the football to a teammate,Executing a pass during a football match,Transferring the ball to another player,Coordinating a pass in play,Strategically moving the ball among team members
passing American football (not in game),Tossing a football casually,Sharing the football outside of a match,Practicing throws with a football,Engaging in leisurely football play,Exchanging passes for fun or practice
passing soccer ball,Kicking the ball to another player,Executing a soccer pass,Transferring the ball during soccer,Coordinating movement of the ball,Strategically playing the ball in soccer
peeling apples,Removing apple skin with a knife or peeler,Preparing apples by taking off the peel,Stripping away the outer layer of apples,Making apples ready for cooking or eating,Uncovering the flesh of apples
peeling banana,Removing the peel from a banana,Stripping a banana for consumption,Unwrapping a banana's natural covering,Preparing a banana to eat,Exposing the fruit of a banana
peeling potatoes,Stripping the skin off potatoes,Preparing potatoes by removing the peel,Using a peeler or knife on potatoes,Making potatoes ready for cooking,Uncovering the edible part of potatoes
person collecting garbage,Gathering waste for disposal,Picking up trash for clean-up,Removing litter from areas,Conducting garbage collection,Engaging in waste management activities
petting animal (not cat),Stroking an animal gently,Showing affection to an animal through touch,Caressing an animal other than a cat,Comforting an animal with petting,Expressing care by touching an animal
petting cat,Gently stroking a cat's fur,Caressing a cat lovingly,Touching a cat softly,Showing affection to a cat through petting,Soothing a cat with gentle strokes
petting horse,Stroking a horse's coat,Touching a horse affectionately,Gently caressing a horse,Expressing care by petting a horse,Soothing a horse with gentle touches
photobombing,Intruding into a photo unexpectedly,Surprise appearance in someone's photo,Intentionally appearing in a photo uninvited,Humorously disrupting a photograph,Making an unexpected entry in a picture
photocopying,Duplicating documents using a copier,Reproducing papers through photocopying,Creating copies of documents,Using a photocopier for duplication,Generating identical copies with a machine
picking apples,Harvesting apples from trees,Gathering apples in an orchard,Selecting and collecting apples,Collecting ripe apples for use,Engaging in apple picking activity
picking blueberries,Gathering blueberries from bushes,Harvesting blueberries by hand,Selecting ripe blueberries for collection,Engaging in blueberry picking,Collecting blueberries from the field
pillow fight,Engaging in playful combat with pillows,Striking with pillows for fun,Participating in a light-hearted pillow battle,Having a friendly fight using pillows,Enjoying a fun pillow skirmish
pinching,Squeezing skin gently between fingers,Applying pressure with fingers in a pinch,Using fingers to grasp and squeeze,Engaging in the act of pinching,Lightly gripping with a pinching motion
pirouetting,Spinning on one foot in dance,Executing a ballet turn,Performing a rotational dance move,Twirling in a circle on pointe,Completing a graceful spinning maneuver
planing wood,Smoothing wood surfaces with a plane,Shaping wood by shaving off layers,Using a plane tool on wood,Creating a smooth finish on wood,Refining wooden materials with planing
planting trees,Sowing young trees into the ground,Establishing trees in soil,Contributing to reforestation by planting,Cultivating new trees in an area,Engaging in tree plantation activities
plastering,Applying plaster to walls or ceilings,Smoothing surfaces with plaster mix,Covering walls with plaster for finish,Executing the art of plastering in construction,Crafting smooth finishes with plaster
playing accordion,Operating bellows and keys of an accordion,Performing music with an accordion,Creating melodies on an accordion,Expressing tunes through accordion play,Engaging in the art of accordion music
playing american football,Engaging in a game of American football,Tackling passing and scoring in football,Participating in a football team sport,Executing plays on the football field,Competing in an American football match
playing badminton,Hitting a shuttlecock over a net,Engaging in a badminton match,Playing badminton for sport or recreation,Competing with racquets and a shuttlecock,Participating in a game of badminton
playing bagpipes,Performing music with traditional bagpipes,Creating melodies with a set of bagpipes,Expressing tunes through bagpipe playing,Operating bagpipes to produce sound,Engaging in the art of bagpipe music
playing basketball,Shooting and dribbling in a basketball game,Competing on a basketball court,Playing in a team-based basketball match,Engaging in basketball for sport,Executing basketball plays and strategies
playing bass guitar,Strumming a bass guitar in a band,Creating rhythm with a bass guitar,Performing music with a bass instrument,Engaging in bass guitar playing,Producing deep tones with a bass guitar
playing beer pong,Tossing balls into cups in a party game,Competing in a game of beer pong,Enjoying a social drinking game with ping pong balls,Participating in beer pong for fun,Engaging in the challenge of beer pong
playing billiards,Striking pool balls with a cue,Competing in a game of billiards,Engaging in precision shots on a billiard table,Playing pool or snooker with cues,Participating in a strategic game of billiards
playing blackjack,Competing in a card game of 21,Engaging in blackjack at a casino,Playing a game of chance and strategy,Participating in a blackjack card game,Challenging luck and skill in blackjack
playing cards,Engaging in a variety of card games,Shuffling and dealing in a card game,Participating in traditional card games,Competing with playing cards,Enjoying a game night with cards
playing cello,Performing music with a cello,Creating deep string sounds on a cello,Engaging in classical music with a cello,Expressing emotions through cello playing,Participating in an orchestra or solo with a cello
playing checkers,Competing in a game of strategy,Moving pieces on a checkerboard,Engaging in a match of checkers,Participating in a board game challenge,Exercising strategic thinking in checkers
playing chess,Strategizing in a game of chess,Moving chess pieces in a tactical game,Engaging in intellectual competition in chess,Playing a game of kings and queens,Challenging the mind with chess moves
playing clarinet,Producing music with a woodwind clarinet,Performing in a band or orchestra with a clarinet,Engaging in clarinet playing for melody,Creating harmonious sounds with a clarinet,Expressing musicality through a clarinet
playing controller,Using a game controller for video games,Engaging in digital gaming with a controller,Manipulating a gaming console with a controller,Participating in virtual games,Experiencing interactive gaming through a controller
playing cricket,Batting and bowling in cricket,Competing in a game of cricket,Playing cricket as a team sport,Engaging in cricket for recreation or competition,Participating in cricket matches with rules and strategy
playing cymbals,Crashing cymbals together for sound,Using cymbals in a musical performance,Creating rhythmic clashes with cymbals,Participating in an orchestra with cymbals,Expressing beats through cymbal playing
playing darts,Throwing darts at a dartboard,Competing in a game of precision and skill,Aiming and striking a target with darts,Engaging in the sport of darts,Participating in dart throwing challenges
playing didgeridoo,Performing music with an Aboriginal wind instrument,Creating deep resonant sounds with a didgeridoo,Engaging in traditional didgeridoo playing,Expressing cultural music through the didgeridoo,Utilizing breathing techniques for didgeridoo music
playing dominoes,Strategizing in a game of dominoes,Arranging domino tiles in play,Competing in matching and scoring with dominoes,Enjoying a session of domino games,Participating in the strategic game of dominoes
playing drums,Beating drum skins to produce rhythm,Performing in a band or solo on drums,Creating rhythmic patterns with drums,Engaging in drumming for musical expression,Showcasing percussion skills on drums
playing field hockey,Competing in a game of field hockey,Using sticks to hit a ball in hockey,Participating in a team-based field hockey match,Executing strategies in field hockey,Engaging in outdoor hockey on a field
playing flute,Creating melodies with a woodwind flute,Performing music on a flute,Expressing tunes through flute playing,Participating in orchestras or solo with a flute,Utilizing breath control in flute music
playing gong,Striking a gong for resonant sound,Using a mallet to play a large gong,Participating in musical performances with a gong,Creating deep tones with a gong,Engaging in the art of gong playing
playing guitar,Strumming strings on a guitar,Performing music with an acoustic or electric guitar,Creating chord progressions on a guitar,Expressing creativity through guitar playing,Participating in bands or solo with guitar
playing hand clapping games,Engaging in rhythmic clapping patterns with hands,Participating in playful hand clapping activities,Coordinating claps in games,Enjoying traditional hand clapping games,Creating beats and rhythms with hand claps
